"","TaxonName","CommonName","FleetGearName","bycatch","destruction","TaxonKey","FunctionalGroupDescription","fish_type"
"22","Katsuwonus pelamis","Skipjack tuna","LonglineTuna","high","non-destructive",600107,"Large pelagics (>=90 cm)","pelagic"
"23","Mustelus","Smooth-hounds","Lines Non-tuna","low","non-destructive",500348,"Large sharks (>=90 cm)","pelagic"
"24","Katsuwonus pelamis","Skipjack tuna","Pole and Line Tuna","low","non-destructive",600107,"Large pelagics (>=90 cm)","pelagic"
"25","Scomber scombrus","Atlantic mackerel","Trap","high","non-destructive",600118,"Medium pelagics (30 - 89 cm)","demersal"
"26","Lophius","Monkfishes","Gillnet","high","non-destructive",500112,"Medium bathydemersals (30 - 89 cm)","demersal"
"27","Scophthalmidae","Turbots","Trawl","high","destructive",400515,"Small to medium flatfishes (<90 cm)","demersal"
"28","Venus (=Chamelea) gallina","Striped venus","Other","low","non-destructive",NA,NA,"pelagic"
"29","Marine animals","Marine animals","Gillnet","high","non-destructive",NA,NA,"pelagic"
"30","Loligo","Common squids","Trawl","high","destructive",590010,"Cephalopods","demersal"
"31","Marine fishes not identified","Marine fishes","Trawl","high","destructive",100039,"Medium demersals (30 - 89 cm)","demersal"
"32","Thunnus obesus","Bigeye tuna","Gillnet","high","non-destructive",600146,"Large pelagics (>=90 cm)","pelagic"
"33","Pecten yessoensis","Yesso scallop","Dredge","high","destructive",690445,"Other demersal invertebrates","demersal"
"34","Pandalus borealis","Northern prawn","Trawl","high","destructive",690269,"Shrimps","demersal"
"35","Engraulis encrasicolus","European anchovy","Purse seine Non-tuna","low","non-destructive",600066,"Small pelagics (<30 cm)","pelagic"
"36","Miscellaneous marine molluscs","Marine molluscs","Dredge","high","destructive",NA,NA,"demersal"
"37","Trachurus","Jack and horse mackerels","Trawl midwater","high","non-destructive",500661,"Medium pelagics (30 - 89 cm)","pelagic"
"38","Pleuronectidae","Righteye flounders","Trawl","high","destructive",400440,"Small to medium flatfishes (<90 cm)","demersal"
"39","Lophius piscatorius","Angler","Gillnet","high","non-destructive",600716,"Large bathydemersals (>=90 cm)","demersal"
"40","Miscellaneous marine crustaceans","Marine crustaceans","Trap","high","non-destructive",100047,"Shrimps","demersal"
"41","Stromateus fiatola","Blue butterfish","Trawl","high","destructive",601198,"Medium benthopelagics (30 - 89 cm)","demersal"
"42","Aequipecten opercularis","Queen scallop","Other","low","non-destructive",690314,"Other demersal invertebrates","demersal"
"43","Coryphaena hippurus","Common dolphinfish","Gillnet","high","non-destructive",600006,"Large pelagics (>=90 cm)","pelagic"
"44","Lophius","Monkfishes","Trawl","high","destructive",500112,"Medium bathydemersals (30 - 89 cm)","demersal"
"45","Mytilus edulis","Blue mussel","Other","low","non-destructive",690053,"Other demersal invertebrates","demersal"
"46","Sardinops sagax","South American pilchard","Purse seine Non-tuna","low","non-destructive",601477,"Medium pelagics (30 - 89 cm)","pelagic"
"47","Thunnus alalunga","Albacore","Gillnet","high","non-destructive",600142,"Large pelagics (>=90 cm)","pelagic"
"48","Busycon","Whelks","Other","low","non-destructive",590110,"Other demersal invertebrates","demersal"
"49","Seriolella","Barrelfishes","Purse seine Non-tuna","low","non-destructive",502004,"Medium benthopelagics (30 - 89 cm)","pelagic"
"50","Sarda sarda","Atlantic bonito","Purse seine Non-tuna","low","non-destructive",600115,"Medium pelagics (30 - 89 cm)","pelagic"
"51","Trachurus picturatus","Blue jack mackerel","Lines Non-tuna","low","non-destructive",601279,"Medium benthopelagics (30 - 89 cm)","pelagic"
"52","Trachurus trachurus","Atlantic horse mackerel","Trawl","high","destructive",601365,"Medium pelagics (30 - 89 cm)","demersal"
"53","Coregonus autumnalis","Arctic cisco","Lines Non-tuna","low","non-destructive",602669,"Medium pelagics (30 - 89 cm)","pelagic"
"54","Mytilus coruscus","Korean mussel","Dredge","high","destructive",690218,"Other demersal invertebrates","demersal"
"55","Clupeiformes","Herrings","Purse seine Non-tuna","low","non-destructive",300028,"Small pelagics (<30 cm)","pelagic"
"56","Xiphias gladius","Swordfish","Other","low","non-destructive",600226,"Large pelagics (>=90 cm)","pelagic"
"57","Bregmaceros mcclellandi","Spotted codlet","Seine","high","non-destructive",608421,"Small pelagics (<30 cm)","pelagic"
"58","Saurida tumbil","Greater lizardfish","Gillnet","high","non-destructive",606479,"Medium demersals (30 - 89 cm)","demersal"
"59","Boreogadus saida","Polar cod","Purse seine Non-tuna","low","non-destructive",600319,"Medium demersals (30 - 89 cm)","demersal"
"60","Arca","Ark clams","Other","low","non-destructive",590125,"Other demersal invertebrates","demersal"
"61","Lutjanidae","Snappers","Lines Non-tuna","low","non-destructive",400323,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"62","Pseudupeneus prayensis","West African goatfish","Trawl","high","destructive",600453,"Medium demersals (30 - 89 cm)","demersal"
"63","Holothuroidea","Sea cucumbers","Other","low","non-destructive",390012,"Other demersal invertebrates","demersal"
"64","Mytilus galloprovincialis","Mediterranean mussel","Dredge","high","destructive",690241,"Other demersal invertebrates","demersal"
"65","Thunnus alalunga","Albacore","Lines Non-tuna","low","non-destructive",600142,"Large pelagics (>=90 cm)","pelagic"
"66","Makaira indica","Black marlin","LonglineTuna","high","non-destructive",NA,NA,"pelagic"
"67","Anguilliformes","Eels and morays","Trawl","high","destructive",300026,"Large demersals (>=90 cm)","demersal"
"68","Antimora rostrata","Blue antimora","Gillnet","high","non-destructive",602005,"Medium bathypelagics (30 - 89 cm)","pelagic"
"69","Merluccius","Hakes","Lines Non-tuna","low","non-destructive",500654,"Medium bathydemersals (30 - 89 cm)","demersal"
"70","Gadus morhua","Atlantic cod","Gillnet","high","non-destructive",600069,"Large benthopelagics (>=90 cm)","pelagic"
"71","Scomber scombrus","Atlantic mackerel","Purse seine Non-tuna","low","non-destructive",600118,"Medium pelagics (30 - 89 cm)","pelagic"
"72","Anguilliformes","Eels and morays","Gillnet","high","non-destructive",300026,"Large demersals (>=90 cm)","demersal"
"73","Oncorhynchus nerka","Sockeye salmon","Purse seine Non-tuna","low","non-destructive",600243,"Medium pelagics (30 - 89 cm)","pelagic"
"74","Xiphias gladius","Swordfish","Purse seine Tuna","low","non-destructive",600226,"Large pelagics (>=90 cm)","pelagic"
"75","Scomber scombrus","Atlantic mackerel","Lines Non-tuna","low","non-destructive",600118,"Medium pelagics (30 - 89 cm)","pelagic"
"76","Epinephelus","Groupers","Lines Non-tuna","low","non-destructive",500366,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"77","Sparidae","Porgies","Lines Non-tuna","low","non-destructive",400330,"Medium benthopelagics (30 - 89 cm)","pelagic"
"78","Mugil liza","Liza","Trawl midwater","high","non-destructive",601090,"Medium demersals (30 - 89 cm)","pelagic"
"79","Megalops atlanticus","Tarpon","Lines Non-tuna","low","non-destructive",601079,"Large pelagics (>=90 cm)","pelagic"
"80","Litopenaeus occidentalis","Western white shrimp","Trawl","high","destructive",690433,"Shrimps","demersal"
"81","Sepiida","Cuttlefishes","Trawl","high","destructive",390006,"Cephalopods","demersal"
"82","Mullus barbatus barbatus","Red mullet","Other","low","non-destructive",600790,"Medium demersals (30 - 89 cm)","demersal"
"83","Haemulidae","Grunts","Lines Non-tuna","low","non-destructive",400327,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"84","Scomber scombrus","Atlantic mackerel","Gillnet","high","non-destructive",600118,"Medium pelagics (30 - 89 cm)","pelagic"
"85","Saxidomus gigantea","Butter clam","Dredge","high","destructive",690064,"Other demersal invertebrates","demersal"
"86","Trichiurus lepturus","Largehead hairtail","Gillnet","high","non-destructive",601288,"Large benthopelagics (>=90 cm)","pelagic"
"87","Thunnus albacares","Yellowfin tuna","LonglineTuna","high","non-destructive",600143,"Large pelagics (>=90 cm)","pelagic"
"88","Teuthida","Squids","Trawl midwater","high","non-destructive",390002,"Cephalopods","pelagic"
"89","Scombroids","Tunas bonitos billfishes","LonglineTuna","high","non-destructive",NA,NA,"pelagic"
"90","Melanogrammus aeglefinus","Haddock","Trawl","high","destructive",601381,"Medium demersals (30 - 89 cm)","demersal"
"91","Scombroids","Tunas bonitos billfishes","Purse seine Non-tuna","low","non-destructive",NA,NA,"pelagic"
"92","Mullus barbatus barbatus","Red mullet","Gillnet","high","non-destructive",600790,"Medium demersals (30 - 89 cm)","demersal"
"93","Coryphaena hippurus","Common dolphinfish","Lines Non-tuna","low","non-destructive",600006,"Large pelagics (>=90 cm)","pelagic"
"94","Pomatomus saltatrix","Bluefish","Lines Non-tuna","low","non-destructive",600364,"Large pelagics (>=90 cm)","pelagic"
"95","Salmonidae","Salmonids","Trawl midwater","high","non-destructive",400076,"Large benthopelagics (>=90 cm)","pelagic"
"96","Scombridae","Mackerels tunas bonitos","Trawl midwater","high","non-destructive",400416,"Large pelagics (>=90 cm)","pelagic"
"97","Belone belone","Garpike","Lines Non-tuna","low","non-destructive",600047,"Medium pelagics (30 - 89 cm)","pelagic"
"98","Echinoidea","Sea urchins","Other","low","non-destructive",290011,"Other demersal invertebrates","demersal"
"99","Prionace glauca","Blue shark","Lines Non-tuna","low","non-destructive",600898,"Large sharks (>=90 cm)","pelagic"
"100","Scombroids","Tunas bonitos billfishes","Lines Non-tuna","low","non-destructive",NA,NA,"pelagic"
"101","Acanthocybium solandri","Wahoo","Seine","high","non-destructive",600089,"Large pelagics (>=90 cm)","pelagic"
"102","Thunnus orientalis","Pacific bluefin tuna","Trawl midwater","high","non-destructive",614290,"Large pelagics (>=90 cm)","pelagic"
"103","Pseudophycis bachus","Red codling","Trawl","high","destructive",602020,"Medium demersals (30 - 89 cm)","demersal"
"104","Marine fishes not identified","Marine fishes","Gillnet","high","non-destructive",100039,"Medium demersals (30 - 89 cm)","demersal"
"105","Brachyura","Marine crabs","Trap","high","non-destructive",490097,"Lobsters, crabs","demersal"
"106","Anadara","Anadara clams","Dredge","high","destructive",590124,"Other demersal invertebrates","demersal"
"107","Loligo","Common squids","Lines Non-tuna","low","non-destructive",590010,"Cephalopods","pelagic"
"108","Octopoda","Octopuses","Lines Non-tuna","low","non-destructive",390007,"Cephalopods","pelagic"
"109","Haliporoides","Knife shrimps","Trawl","high","destructive",590089,"Shrimps","demersal"
"110","Prolatilus jugularis","Tilefish","Trawl","high","destructive",612917,"Medium demersals (30 - 89 cm)","demersal"
"111","Rastrelliger kanagurta","Indian mackerel","Seine","high","non-destructive",600111,"Medium pelagics (30 - 89 cm)","pelagic"
"112","Spisula solidissima","Atlantic surf clam","Other","low","non-destructive",690033,"Other demersal invertebrates","demersal"
"113","Patagonotothen ramsayi","Ramsay's icefish","Trawl","high","destructive",610308,"Medium benthopelagics (30 - 89 cm)","demersal"
"114","Gastropoda","Gastropods","Other","low","non-destructive",290006,"Other demersal invertebrates","demersal"
"115","Strombus","Stromboid conchs","Trap","high","non-destructive",590051,"Other demersal invertebrates","demersal"
"116","Sarda sarda","Atlantic bonito","Gillnet","high","non-destructive",600115,"Medium pelagics (30 - 89 cm)","pelagic"
"117","Lichia amia","Leerfish","Lines Non-tuna","low","non-destructive",600692,"Large pelagics (>=90 cm)","pelagic"
"118","Pollachius virens","Saithe","Trawl","high","destructive",601343,"Large demersals (>=90 cm)","demersal"
"119","Pleuronectes platessa","European plaice","Trawl","high","destructive",601342,"Large flatfishes (>=90 cm)","demersal"
"120","Thunnus thynnus","Atlantic bluefin tuna","Trap","high","non-destructive",600147,"Large pelagics (>=90 cm)","demersal"
"121","Glyptocephalus cynoglossus","Witch","Seine","high","non-destructive",600026,"Small to medium flatfishes (<90 cm)","demersal"
"122","Larimichthys polyactis","Yellow croaker","Trawl","high","destructive",600416,"Medium benthopelagics (30 - 89 cm)","demersal"
"123","Scomber scombrus","Atlantic mackerel","Seine","high","non-destructive",600118,"Medium pelagics (30 - 89 cm)","pelagic"
"124","Hoplostethus atlanticus","Orange roughy","Trawl","high","destructive",600334,"Medium bathypelagics (30 - 89 cm)","demersal"
"125","Teuthida","Squids","Gillnet","high","non-destructive",390002,"Cephalopods","pelagic"
"126","Lutjanidae","Snappers","Trap","high","non-destructive",400323,"Medium reef assoc. fish (30 - 89 cm)","demersal"
"127","Salmo salar","Atlantic salmon","Lines Non-tuna","low","non-destructive",600236,"Large benthopelagics (>=90 cm)","pelagic"
"128","Holothuroidea","Sea cucumbers","Dredge","high","destructive",390012,"Other demersal invertebrates","demersal"
"129","Loligo","Common squids","Trawl midwater","high","non-destructive",590010,"Cephalopods","pelagic"
"130","Thunnus obesus","Bigeye tuna","Pole and Line Tuna","low","non-destructive",600146,"Large pelagics (>=90 cm)","pelagic"
"131","Clupea harengus","Atlantic herring","Seine","high","non-destructive",600024,"Medium pelagics (30 - 89 cm)","pelagic"
"132","Mugil cephalus","Flathead mullet","Trap","high","non-destructive",600785,"Large benthopelagics (>=90 cm)","demersal"
"133","Scorpaenidae","Scorpionfishes or rockfishes","Lines Non-tuna","low","non-destructive",400264,"Large reef assoc. fish (>=90 cm)","pelagic"
"134","Platichthys flesus","Flounder","Trawl","high","destructive",601341,"Small to medium flatfishes (<90 cm)","demersal"
"135","Thunnus obesus","Bigeye tuna","Purse seine Tuna","low","non-destructive",600146,"Large pelagics (>=90 cm)","pelagic"
"136","Scombridae","Mackerels tunas bonitos","Purse seine Non-tuna","low","non-destructive",400416,"Large pelagics (>=90 cm)","pelagic"
"137","Sharks rays chimaeras","Sharks rays skates etc","Trawl","high","destructive",NA,NA,"demersal"
"138","Thunnus alalunga","Albacore","LonglineTuna","high","non-destructive",600142,"Large pelagics (>=90 cm)","pelagic"
"139","Muraenesox cinereus","Daggertooth pike conger","Trap","high","non-destructive",600298,"Large demersals (>=90 cm)","demersal"
"140","Carangidae","Jacks and pompanos","Gillnet","high","non-destructive",400314,"Medium pelagics (30 - 89 cm)","pelagic"
"141","Sphyraena jello","Pickhandle barracuda","Seine","high","non-destructive",604827,"Large reef assoc. fish (>=90 cm)","pelagic"
"142","Psetta maxima","Turbot","Seine","high","non-destructive",NA,NA,"pelagic"
"143","Decapterus","Scads","Trawl midwater","high","non-destructive",502102,"Medium pelagics (30 - 89 cm)","pelagic"
"144","Octopoda","Octopuses","Gillnet","high","non-destructive",390007,"Cephalopods","pelagic"
"145","Squaliformes","Bramble sleeper dogfish sharks","Lines Non-tuna","low","non-destructive",300009,"Large sharks (>=90 cm)","pelagic"
"146","Makaira nigricans","Atlantic blue marlin","LonglineTuna","high","non-destructive",600216,"Large pelagics (>=90 cm)","pelagic"
"147","Mullus","Western goatfishes","Gillnet","high","non-destructive",500143,"Medium demersals (30 - 89 cm)","demersal"
"148","Clupeidae","Herrings shads sardines menhadens","Gillnet","high","non-destructive",400043,"Small pelagics (<30 cm)","pelagic"
"149","Psetta maxima","Turbot","Gillnet","high","non-destructive",NA,NA,"pelagic"
"150","Thunnus maccoyii","Southern bluefin tuna","LonglineTuna","high","non-destructive",600145,"Large pelagics (>=90 cm)","pelagic"
"151","Brama brama","Atlantic pomfret","Lines Non-tuna","low","non-destructive",600391,"Medium bathypelagics (30 - 89 cm)","pelagic"
"152","Bivalvia","Clams","Other","low","non-destructive",290004,"Other demersal invertebrates","demersal"
"153","Rastrelliger","Indo-Pacific mackerels","Gillnet","high","non-destructive",505469,"Medium pelagics (30 - 89 cm)","pelagic"
"154","Spicara","Picarels","Trawl","high","destructive",500679,"Small demersals (<30 cm)","demersal"
"155","Thenus orientalis","Flathead lobster","Trap","high","non-destructive",690681,"Lobsters, crabs","demersal"
"156","Tetrapturus albidus","Atlantic white marlin","Lines Non-tuna","low","non-destructive",NA,NA,"pelagic"
"157","Spicara","Picarels","Seine","high","non-destructive",500679,"Small demersals (<30 cm)","demersal"
"158","Mullus barbatus barbatus","Red mullet","Trawl midwater","high","non-destructive",600790,"Medium demersals (30 - 89 cm)","pelagic"
"159","Acanthopagrus schlegelii schlegelii","Black porgy","Lines Non-tuna","low","non-destructive",NA,NA,"pelagic"
"160","Reinhardtius hippoglossoides","Greenland halibut","Lines Non-tuna","low","non-destructive",600516,"Small to medium flatfishes (<90 cm)","demersal"
"161","Umbrina canariensis","Canary drum","Trawl","high","destructive",604548,"Medium demersals (30 - 89 cm)","demersal"
"162","Mustelus","Smooth-hounds","Trawl","high","destructive",500348,"Large sharks (>=90 cm)","demersal"
"163","Thunnus thynnus","Atlantic bluefin tuna","LonglineTuna","high","non-destructive",600147,"Large pelagics (>=90 cm)","pelagic"
"164","Ariidae","Sea catfishes","Trawl","high","destructive",400145,"Medium demersals (30 - 89 cm)","demersal"
"165","Sardina pilchardus","European pilchard","Trawl midwater","high","non-destructive",601350,"Small pelagics (<30 cm)","pelagic"
"166","Paralichthys","American flounders","Trawl","high","destructive",500048,"Large reef assoc. fish (>=90 cm)","demersal"
"167","Tenualosa toli","Toli shad","Gillnet","high","non-destructive",601600,"Medium pelagics (30 - 89 cm)","pelagic"
"168","Caranx","Jacks","Gillnet","high","non-destructive",500467,"Large pelagics (>=90 cm)","pelagic"
"169","Spratelloides gracilis","Silverstriped round herring","Trawl midwater","high","non-destructive",601458,"Small pelagics (<30 cm)","pelagic"
"170","Cephalopoda","Cephalopods","Trawl midwater","high","non-destructive",290002,"Cephalopods","pelagic"
"171","Balistidae","Triggerfishes","Other","low","non-destructive",400445,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"172","Pleuronectiformes","Flatfishes","Trawl","high","destructive",300061,"Small to medium flatfishes (<90 cm)","demersal"
"173","Odontesthes regia","Silverside","Trawl midwater","high","non-destructive",608172,"Small pelagics (<30 cm)","pelagic"
"174","Sarpa salpa","Salema","Trawl","high","destructive",600204,"Medium benthopelagics (30 - 89 cm)","demersal"
"175","Sarda chiliensis chiliensis","Eastern Pacific bonito","Gillnet","high","non-destructive",NA,NA,"pelagic"
"176","Trachurus","Jack and horse mackerels","Gillnet","high","non-destructive",500661,"Medium pelagics (30 - 89 cm)","pelagic"
"177","Microgadus proximus","Pacific tomcod","Seine","high","non-destructive",601879,"Medium demersals (30 - 89 cm)","demersal"
"178","Synodontidae","Lizardfishes","Trawl","high","destructive",400160,"Medium demersals (30 - 89 cm)","demersal"
"179","Parapenaeus longirostris","Deepwater rose shrimp","Trawl","high","destructive",690109,"Shrimps","demersal"
"180","Sardinella maderensis","Madeiran sardinella","Purse seine Non-tuna","low","non-destructive",601047,"Medium pelagics (30 - 89 cm)","pelagic"
"181","Clupeiformes","Herrings","Seine","high","non-destructive",300028,"Small pelagics (<30 cm)","pelagic"
"182","Ruvettus pretiosus","Oilfish","Longline Non-tuna","high","non-destructive",601044,"Large benthopelagics (>=90 cm)","pelagic"
"183","Sprattus fuegensis","Falkland sprat","Gillnet","high","non-destructive",601466,"Small pelagics (<30 cm)","pelagic"
"184","Sphoeroides maculatus","Northern puffer","Trap","high","non-destructive",601181,"Medium demersals (30 - 89 cm)","demersal"
"185","Scomberomorus brasiliensis","Serra Spanish mackerel","Gillnet","high","non-destructive",600119,"Large pelagics (>=90 cm)","pelagic"
"186","Dicentrarchus labrax","European seabass","Lines Non-tuna","low","non-destructive",600063,"Large demersals (>=90 cm)","demersal"
"187","Spicara","Picarels","Purse seine Non-tuna","low","non-destructive",500679,"Small demersals (<30 cm)","pelagic"
"188","Carcharhinidae","Requiem sharks","Lines Non-tuna","low","non-destructive",400011,"Large sharks (>=90 cm)","pelagic"
"189","Paralomis spinosissima","Antarctic stone crab","Trap","high","non-destructive",690018,"Lobsters, crabs","demersal"
"190","Sebastes","Redfishes","Trawl","high","destructive",501135,"Large reef assoc. fish (>=90 cm)","demersal"
"191","Trachurus symmetricus","Pacific jack mackerel","Trawl midwater","high","non-destructive",600368,"Medium pelagics (30 - 89 cm)","pelagic"
"192","Trichiurus lepturus","Largehead hairtail","Trawl midwater","high","non-destructive",601288,"Large benthopelagics (>=90 cm)","pelagic"
"193","Lithognathus mormyrus","Striped seabream","Trawl","high","destructive",600706,"Medium benthopelagics (30 - 89 cm)","demersal"
"194","Monacanthidae","Filefishes","Other","low","non-destructive",400517,"Large reef assoc. fish (>=90 cm)","pelagic"
"195","Polynemidae","Threadfins","Gillnet","high","non-destructive",400361,"Small demersals (<30 cm)","demersal"
"196","Centrolophidae","Medusafishes","Purse seine Non-tuna","low","non-destructive",400421,"Medium pelagics (30 - 89 cm)","pelagic"
"197","Engraulis capensis","Cape anchovy","Gillnet","high","non-destructive",601661,"Small pelagics (<30 cm)","pelagic"
"198","Osmeridae","Smelts","Purse seine Non-tuna","low","non-destructive",400080,"Small pelagics (<30 cm)","pelagic"
"199","Platycephalidae","Flatheads","Lines Non-tuna","low","non-destructive",400273,"Medium demersals (30 - 89 cm)","demersal"
"200","Sphyraena","Barracudas","Lines Non-tuna","low","non-destructive",500372,"Large pelagics (>=90 cm)","pelagic"
"201","Homarus gammarus","European lobster","Trap","high","non-destructive",690125,"Lobsters, crabs","demersal"
"202","Merluccius merluccius","European hake","Gillnet","high","non-destructive",600030,"Large demersals (>=90 cm)","demersal"
"203","Makaira mazara","Indo-Pacific blue marlin","Lines Non-tuna","low","non-destructive",600218,"Large pelagics (>=90 cm)","pelagic"
"204","Sciaenidae","Drums or croakers","Trawl midwater","high","non-destructive",400331,"Medium demersals (30 - 89 cm)","pelagic"
"205","Aphanopus carbo","Black scabbardfish","Trawl","high","destructive",600646,"Large benthopelagics (>=90 cm)","demersal"
"206","Teuthida","Squids","Purse seine Non-tuna","low","non-destructive",390002,"Cephalopods","pelagic"
"207","Trichiurus lepturus","Largehead hairtail","Seine","high","non-destructive",601288,"Large benthopelagics (>=90 cm)","pelagic"
"208","Trachurus murphyi","Inca scad","Trawl midwater","high","non-destructive",600367,"Medium pelagics (30 - 89 cm)","pelagic"
"209","Clupeiformes","Herrings","Gillnet","high","non-destructive",300028,"Small pelagics (<30 cm)","pelagic"
"210","Limanda ferruginea","Yellowtail flounder","Trawl","high","destructive",600521,"Small to medium flatfishes (<90 cm)","demersal"
"211","Mytilus galloprovincialis","Mediterranean mussel","Other","low","non-destructive",690241,"Other demersal invertebrates","demersal"
"212","Mullus barbatus barbatus","Red mullet","Trawl","high","destructive",600790,"Medium demersals (30 - 89 cm)","demersal"
"213","Homaridae/Palinuridae","Lobsters spiny-rock lobsters","Trap","high","non-destructive",NA,NA,"demersal"
"214","Dussumieria acuta","Rainbow sardine","Trawl midwater","high","non-destructive",601453,"Small pelagics (<30 cm)","pelagic"
"215","Sparidae","Porgies","Trawl midwater","high","non-destructive",400330,"Medium benthopelagics (30 - 89 cm)","pelagic"
"216","Psettodes erumei","Indian spiny turbot","Trawl","high","destructive",600513,"Small to medium flatfishes (<90 cm)","demersal"
"217","Stenodus leucichthys","Inconnu","Lines Non-tuna","low","non-destructive",602692,"Large demersals (>=90 cm)","demersal"
"218","Berycidae","Alfonsinos","Trawl","high","destructive",400240,"Medium benthopelagics (30 - 89 cm)","demersal"
"219","Pseudotolithus","Croakers","Trawl midwater","high","non-destructive",503152,"Large demersals (>=90 cm)","pelagic"
"220","Gerreidae","Mojarras","Trap","high","non-destructive",400326,"Small benthopelagics (<30 cm)","demersal"
"221","Lepidocybium flavobrunneum","Escolar","Longline Non-tuna","high","non-destructive",601042,"Large bathypelagics (>=90 cm)","pelagic"
"222","Pecten yessoensis","Yesso scallop","Trap","high","non-destructive",690445,"Other demersal invertebrates","demersal"
"223","Buccinum undatum","Whelk","Other","low","non-destructive",690434,"Other demersal invertebrates","demersal"
"224","Thunnus thynnus","Atlantic bluefin tuna","Pole and Line Tuna","low","non-destructive",600147,"Large pelagics (>=90 cm)","pelagic"
"225","Pollachius pollachius","Pollack","Lines Non-tuna","low","non-destructive",600034,"Large benthopelagics (>=90 cm)","pelagic"
"226","Atherinidae","Silversides","Lines Non-tuna","low","non-destructive",400218,"Small pelagics (<30 cm)","pelagic"
"227","Sepiida","Cuttlefishes","Gillnet","high","non-destructive",390006,"Cephalopods","pelagic"
"228","Merluccius australis","Southern hake","Trawl","high","destructive",600322,"Large benthopelagics (>=90 cm)","demersal"
"229","Lophius americanus","American angler","Trawl","high","destructive",600532,"Large demersals (>=90 cm)","demersal"
"230","Merluccius","Hakes","Gillnet","high","non-destructive",500654,"Medium bathydemersals (30 - 89 cm)","demersal"
"231","Lophiidae","Goosefishes","Trawl","high","destructive",400190,"Medium bathydemersals (30 - 89 cm)","demersal"
"232","Atherinidae","Silversides","Purse seine Non-tuna","low","non-destructive",400218,"Small pelagics (<30 cm)","pelagic"
"233","Crassostrea","Cupped oysters","Dredge","high","destructive",590014,"Other demersal invertebrates","demersal"
"234","Merlangius merlangus","Whiting","Seine","high","non-destructive",600029,"Medium benthopelagics (30 - 89 cm)","pelagic"
"235","Sarda chiliensis lineolata","Pacific bonito","Lines Non-tuna","low","non-destructive",604796,"Large pelagics (>=90 cm)","pelagic"
"236","Lateolabrax japonicus","Japanese seaperch","Seine","high","non-destructive",604589,"Medium reef assoc. fish (30 - 89 cm)","pelagic"
"237","Peristediidae","Armored searobins or armored gurnards","Lines Non-tuna","low","non-destructive",400581,"Medium bathydemersals (30 - 89 cm)","demersal"
"238","Alopias vulpinus","Thintail thresher","Lines Non-tuna","low","non-destructive",602535,"Large sharks (>=90 cm)","pelagic"
